date,new_pega_cnt,pega_min,pega_max,acc_pega_cnt,pega_breed_times,pega_rate,PEGA SALES VOLUME(USDT),PEGA SALES VOLUME(백만원),"SOLD PEGA
(개)","SOLD PEGA
평균거래가(원)","VIS price
(원)","VIS 거래량
(원)","VIS 거래량
(백만원)","Pega floor price
(원)","Pega 시총
(백만원)","Mint
(VIS)","Mint
(백만원)","Burn
(VIS)","Burn
(백만원)","Burn for 1 Pega
(VIS)","Net Mint-Burn
(VIS)","Net Mnt-Brn 누적
(VIS)","Net Mint-Burn
(백만원)","Net Mnt-Brn 누적
(백만원)","시총-누적Net M-B
(백만원)"
11/6,0,0,0,,,,,0,,,23.344,,0,233440,875.4,0,0,0,0,,0,,0,0,875.4
11/7,3565,699.8720873,874.8401091,3565,1,,,0,,,24.53969451,,0,245396.9451,874.8401091,0,0,0,0,,0,0,0,0,874.8401091
11/8,441,91.01052208,113.7631526,4006,1.123702665,0.123702665,,0,,,25.79663324,,0,257966.3324,1033.413128,0,0,0,0,,0,0,0,0,1033.413128
11/9,55,11.9318994,14.91487425,4061,1.139130435,0.013729406,,0,,,27.11795318,,0,271179.5318,1101.260079,0,0,0,0,,0,0,0,0,1101.260079
11/10,30,6.841668471,8.552085589,4091,1.147545582,0.007387343,,0,,,28.50695196,,0,285069.5196,1166.219405,0,0,0,0,,0,0,0,0,1166.219405
11/11,20,4.794735383,5.993419229,4111,1.15315568,0.00488878,,0,,,29.96709615,,0,299670.9615,1231.947323,0,0,0,0,,0,0,0,0,1231.947323
11/12,34,8.568552117,10.71069015,4145,1.162692847,0.008270494,,0,,,31.50202984,,0,315020.2984,1305.759137,0,0,0,0,,0,0,0,0,1305.759137
11/13,16,4.238794729,5.298493411,4161,1.167180926,0.003860072,,0,,,33.11558382,,0,331155.8382,1377.939443,0,0,0,0,,0,0,0,0,1377.939443
11/14,32,8.911816973,11.13977122,4193,1.176157083,0.007690459,,0,,,34.81178505,,0,348117.8505,1459.658147,0,0,0,0,,0,0,0,0,1459.658147
11/15,1950,570.8799219,713.5999024,6143,1.723141655,0.465060816,63162,75.7944,49,1546824.49,36.59486679,,0,365948.6679,2248.022667,0,0,0,0,,0,0,0,0,2248.022667
11/16,257,79.09283784,98.8660473,6400,1.795231417,0.041836236,138298,165.9576,92,1803886.957,38.46927911,,0,384692.7911,2462.033863,0,0,0,0,,0,0,0,0,2462.033863
11/17,317,102.5550792,128.193849,6717,1.884151473,0.04953125,111440,133.728,78,1714461.538,40.43970001,,0,404397.0001,2716.33465,0,0,0,0,,0,0,0,0,2716.33465
11/18,505,171.7446304,214.680788,7222,2.025806452,0.075182373,93502,112.2024,73,1537019.178,42.51104713,,0,425110.4713,3070.147824,0,0,0,0,,0,0,0,0,3070.147824
11/19,1208,431.869567,539.8369587,8430,2.364656381,0.167266685,95527,114.6324,66,1736854.545,44.68848996,,0,446884.8996,3767.239704,0,0,0,0,,0,0,0,0,3767.239704
11/20,296,111.2426319,139.0532899,8726,2.447685835,0.035112693,64288,77.1456,65,1186855.385,46.9774628,,0,469774.628,4099.253404,0,0,0,0,,0,0,0,0,4099.253404
11/21,848,335.0188734,418.7735918,9574,2.685553997,0.097180839,62914,75.4968,56,1348157.143,49.38367828,,0,493836.7828,4727.993358,0,0,0,0,,0,0,0,0,4727.993358
11/22,688,285.7299316,357.1624145,10262,2.878541374,0.071861291,77580,93.096,69,1349217.391,51.91314164,,0,519131.4164,5327.326595,0,0,0,0,,0,0,0,0,5327.326595
11/23,1495,652.683102,815.8538775,11757,3.297896213,0.145683103,53063,63.6756,57,1117115.789,54.57216572,,0,545721.6572,6416.049524,0,0,0,0,,0,0,0,0,6416.049524
11/24,928,425.8954789,532.3693486,12685,3.558204769,0.0789317,81308,97.5696,90,1084106.667,57.36738671,,0,573673.8671,7277.053004,0,0,0,0,,0,0,0,0,7277.053004
11/25,1147,553.3658436,691.7073045,13832,3.879943899,0.090421758,56299,67.5588,76,888931.5789,60.30578069,,0,603057.8069,8341.495585,0,0,0,0,,0,0,0,0,8341.495585
11/26,707,358.5603161,448.2003952,14539,4.07826087,0.05111336,40160,48.192,61,790032.7869,63.39468107,,0,633946.8107,9216.952681,0,0,0,0,,0,0,0,0,9216.952681
11/27,2175,1159.567266,1449.459082,16714,4.688359046,0.149597634,70182,84.2184,86,979283.7209,66.6417969,,0,666417.969,11138.50993,0,0,0,0,,0,0,0,0,11138.50993
11/28,1517,850.1902962,1062.73787,18231,5.113884993,0.090762235,48627,58.3524,77,757823.3766,70.05523206,,0,700552.3206,12771.76936,0,0,0,0,,0,0,0,0,12771.76936
11/29,1507,887.8461027,1109.807628,19738,5.536605891,0.082661401,36657,43.9884,79,556815.1899,73.64350553,,0,736435.0553,14535.75512,0,0,0,0,,0,0,0,0,14535.75512
11/30,946,585.8810538,732.3513173,20684,5.801963534,0.047927855,62048,74.4576,128,581700,77.41557265,,0,774155.7265,16012.63705,17896617,1385.476854,246000,19.04423087,947,17650617,17650617,1366.432623,1366.432623,14646.20442
12/1,529,344.4037464,430.504683,21213,5.950350631,0.025575324,96927,116.3124,110,1057385.455,81.38084745,,0,813808.4745,17263.31917,4136304,336.6159248,3168000,257.8145247,530,968304,18618921,78.80140011,1515.22357,15748.0956
12/2,614,420.2177988,525.2722485,21827,6.122580645,0.028944515,82582,99.0984,116,854296.5517,85.54922614,,0,855492.2614,18672.82959,2281164,195.1518149,3586000,306.7795249,615,-1304836,17314085,-111.62771,1481.206573,17191.62302
12/3,569,409.3664211,511.7080263,22396,6.282187938,0.026068631,116223,139.4676,149,936024.1611,89.93111183,,0,899311.1183,20140.97181,2213903,199.0987583,3230000,290.4774912,570,-1016097,16297988,-91.37873294,1465.696181,18675.27562
12/4,537,406.1328444,507.6660554,22933,6.432819074,0.023977496,83468,100.1616,75,1335488,94.53744049,,0,945374.4049,21680.27123,1892581,178.9197637,2930000,276.9947006,538,-1037419,15260569,-98.07493698,1442.695134,20237.57609
12/5,511,406.2642472,507.8303091,23444,6.576157083,0.022282301,133370,160.044,99,1616606.061,99.37970823,,0,993797.0823,23298.5788,1505294,149.5956785,3170000,315.0336751,512,-1664706,13595863,-165.4379966,1351.152898,21947.4259
12/6,485,405.3436,506.6795,23929,6.712201964,0.020687596,227241,272.6892,177,1540616.949,104.47,884045306,884.045306,1044700,24998.6263,2352355,245.7505269,2826000,295.23222,486,-473645,13122218,-49.48169315,1370.878114,23627.74819
12/7,475,587.822,734.7775,24404,6.845441795,0.019850391,419242,503.0904,246,2045082.927,154.69,1254061282,1254.061282,1546900,37750.5476,1882822,291.2537352,2750000,425.3975,476,-867178,12255040,-134.1437648,1895.732138,35854.81546
12/8,345,452.5296,565.662,24749,6.942215989,0.014137027,531083,637.2996,247,2580160.324,163.96,1340999058,1340.999058,1639600,40578.4604,2115425,346.845083,2142000,351.20232,346,-26575,12228465,-4.357237,2004.979121,38573.48128
12/9,453,494.53104,618.1638,25202,7.069284712,0.01830377,491747,590.0964,212,2783473.585,136.46,842494989,842.494989,1364600,34390.6492,1793058,244.6806947,2862000,390.54852,454,-1068942,11159523,-145.8678253,1522.828509,32867.82069
12/10,506,596.75616,745.9452,25708,7.211220196,0.020077772,649281,779.1372,283,2753134.982,147.42,976058239,976.058239,1474200,37898.7336,1922912,283.475687,3326000,490.31892,507,-1403088,9756435,-206.843233,1438.293648,36460.43995
12/11,385,477.8004,597.2505,26093,7.319214586,0.014975883,405010,486.012,174,2793172.414,155.13,936548991,936.548991,1551300,40478.0709,1757622,272.6599009,2762000,428.46906,386,-1004378,8752057,-155.8091591,1357.706602,39120.3643
12/12,304,364.70272,455.8784,26397,7.404488079,0.011650634,587283,704.7396,184,3830106.522,149.96,659238133,659.238133,1499600,39584.9412,1893015,283.8765294,2172000,325.71312,305,-278985,8473072,-41.8365906,1270.621877,38314.31932
12/13,383,443.8204,554.7755,26780,7.511921459,0.014509225,346619,415.9428,143,2908690.909,144.85,781149451,781.149451,1448500,38790.83,2442531,353.8006154,2632000,381.2452,384,-189469,8283603,-27.44458465,1199.879895,37590.95011
12/14,376,339.99424,424.9928,27156,7.617391304,0.014040329,318056,381.6672,153,2494556.863,113.03,594061976,594.061976,1130300,30694.4268,2187315,247.2322145,2612000,295.23436,377,-424685,7858918,-48.00214555,888.2935015,29806.1333
12/15,1757,1302.71008,1628.3876,28913,8.110238429,0.06470025,371870,446.244,192,2324187.5,92.68,2275271683,2275.271683,926800,26796.5684,33378465,3093.516136,12478000,1156.46104,1758,20900465,28759383,1937.055096,2665.419616,24131.14878
12/16,1182,807.16416,1008.9552,30095,8.441795231,0.040881264,491410,589.692,233,2530866.953,85.36,1209052239,1209.052239,853600,25689.092,15737765,1343.37562,9178000,783.43408,1183,6559765,35319148,559.9415404,3014.842473,22674.24953
12/17,892,654.29984,817.8748,30987,8.69200561,0.029639475,453540,544.248,231,2356051.948,91.69,1235962643,1235.962643,916900,28411.9803,8105863,743.2265785,7346000,673.55474,893,759863,36079011,69.67183847,3308.084519,25103.89578
12/18,803,573.6632,717.079,31790,8.917251052,0.025914093,536652,643.9824,240,2683260,89.3,1029420117,1029.420117,893000,28388.47,6957349,621.2912657,6670000,595.631,804,287349,36366360,25.6602657,3247.515948,25140.95405
12/19,1270,871.5248,1089.406,33060,9.273492286,0.03994967,505695,606.834,306,1983117.647,85.78,1125075066,1125.075066,857800,28358.868,9039285,775.3898673,9328000,800.15584,1271,-288715,36077645,-24.7659727,3094.740388,25264.12761
12/20,1046,579.23296,724.0412,34106,9.566900421,0.031639443,457477,548.9724,346,1586625.434,69.22,788012582,788.012582,692200,23608.1732,6954275,481.3749155,7006000,484.95532,1047,-51725,36025920,-3.5804045,2493.714182,21114.45902
12/21,984,533.64288,667.0536,35090,9.842917251,0.028851229,408123,489.7476,314,1559705.732,67.79,840027696,840.027696,677900,23787.511,5918383,401.2071836,7074000,479.54646,985,-1155617,34870303,-78.33927643,2363.85784,21423.65316
12/22,922,442.04368,552.5546,36012,10.10154278,0.026275292,357909,429.4908,289,1486127.336,59.93,534785049,534.785049,599300,21581.9916,5686195,340.7736664,6846000,410.28078,923,-1159805,33710498,-69.50711365,2020.270145,19561.72145
12/23,1002,465.48912,581.8614,37014,10.3826087,0.027824059,320257,384.3084,269,1428655.762,58.07,625572945,625.572945,580700,21494.0298,5949164,345.4679535,7240000,420.4268,1003,-1290836,32419662,-74.95884652,1882.609772,19611.42003
12/24,837,373.302,466.6275,37851,10.6173913,0.022613065,289429,347.3148,266,1305694.737,55.75,514128418,514.128418,557500,21101.9325,5130690,286.0359675,6034000,336.3955,838,-903310,31516352,-50.3595325,1757.036624,19344.89588
12/25,856,376.36608,470.4576,38707,10.85750351,0.02261499,184014,220.8168,192,1150087.5,54.96,453379962,453.379962,549600,21273.3672,4743191,260.6857774,6228000,342.29088,857,-1484809,30031543,-81.60510264,1650.533603,19622.8336
12/26,826,390.07024,487.5878,39533,11.08920056,0.021339809,226864,272.2368,230,1183638.261,59.03,718421195,718.421195,590300,23336.3299,4922985,290.6038046,5788000,341.66564,827,-865015,29166528,-51.06183545,1721.700148,21614.62975
12/27,933,417.31224,521.6403,40466,11.35091164,0.023600536,320986,385.1832,321,1199947.664,55.91,753714155,753.714155,559100,22624.5406,5932681,331.6961947,6550000,366.2105,934,-617319,28549209,-34.51430529,1596.186275,21028.35432
12/28,895,394.3012,492.8765,41361,11.60196353,0.022117333,339336,407.2032,358,1137439.106,55.07,728770103,728.770103,550700,22777.5027,5871619,323.3500583,6238000,343.52666,896,-366381,28182828,-20.17660167,1552.028338,21225.47436
12/29,790,271.5072,339.384,42151,11.82356241,0.019100118,353811,424.5732,373,1138265.952,42.96,627550075,627.550075,429600,18108.0696,5580789,239.7506954,6220000,267.2112,791,-639211,27543617,-27.46050456,1183.273786,16924.79581
12/30,1804,553.17856,691.4732,43955,12.32959327,0.04279851,316127,379.3524,398,953146.7337,38.33,1278622251,1278.622251,383300,16847.9515,35138261,1346.849544,14484000,555.17172,1805,20654261,48197878,791.6778241,1847.424664,15000.52684
12/31,1360,389.0688,486.336,45315,12.71107994,0.030940735,333662,400.3944,379,1056449.604,35.76,707984888,707.984888,357600,16204.644,17869549,639.0150722,10850000,387.996,1361,7019549,55217427,251.0190722,1974.57519,14230.06881
1/1,1446,410.89536,513.6192,46761,13.11669004,0.031909964,275587,330.7044,359,921182.1727,35.52,465793257,465.793257,355200,16609.5072,14334341,509.1557923,11732000,416.72064,1447,2602341,57819768,92.43515232,2053.758159,14555.74904
1/2,1331,418.14696,522.6837,48092,13.49004208,0.028463891,360749,432.8988,466,928967.382,39.27,589105258,589.105258,392700,18885.7284,9329573,366.3723317,10610000,416.6547,1332,-1280427,56539341,-50.28236829,2220.299921,16665.42848
1/3,1515,516.1908,645.2385,49607,13.91500701,0.031502121,351922,422.3064,513,823209.3567,42.59,658016600,658.0166,425900,21127.6213,13478410,574.0454819,11344000,483.14096,1516,2134410,58673751,90.9045219,2498.915055,18628.70624
1/4,1278,436.46256,545.5782,50885,14.27349229,0.025762493,262204,314.6448,361,871592.2438,42.69,525247092,525.247092,426900,21722.8065,8550015,365.0001404,9376000,400.26144,1279,-825985,57847766,-35.26129965,2469.521131,19253.28537
1/5,1389,448.59144,560.7393,52274,14.6631136,0.027296846,239580,287.496,386,744808.2902,40.37,536777467,536.777467,403700,21103.0138,12076750,487.5383975,10712000,432.44344,1390,1364750,59212516,55.0949575,2390.409271,18712.60453
1/6,1684,545.48128,681.8516,53958,15.13548387,0.032214868,287113,344.5356,463,744137.365,40.49,543386182,543.386182,404900,21847.5942,14095696,570.734731,13040000,527.9896,1685,1055696,60268212,42.74513104,2440.259904,19407.3343
1/7,1731,537.44088,671.8011,55689,15.62103787,0.032080507,364599,437.5188,608,719603.2895,38.81,606314461,606.314461,388100,21612.9009,10386072,403.0834543,13308000,516.48348,1732,-2921928,57346284,-113.4000257,2225.609282,19387.29162
1/8,1679,541.04096,676.3012,57368,16.09200561,0.030149581,364375,437.25,577,757798.9601,40.28,739784966,739.784966,402800,23107.8304,10646169,428.8276873,13544000,545.55232,1680,-2897831,54448453,-116.7246327,2193.183687,20914.64671
1/9,1657,588.43384,735.5423,59025,16.55680224,0.028883698,468860,562.632,737,763408.4125,44.39,943580326,943.580326,443900,26201.1975,12148291,539.2626375,13658000,606.27862,1658,-1509709,52938744,-67.01598251,2349.950846,23851.24665
1/10,1729,634.33552,792.9194,60754,17.04179523,0.029292673,428818,514.5816,661,778489.5613,45.86,1078607437,1078.607437,458600,27861.7844,11422480,523.8349328,13818000,633.69348,1730,-2395520,50543224,-109.8585472,2317.912253,25543.87215
1/11,1800,739.728,924.66,62554,17.54670407,0.029627679,596811,716.1732,847,845540.9681,51.37,1428260847,1428.260847,513700,32133.9898,12173803,625.3682601,14094000,724.00878,1801,-1920197,48623027,-98.64051989,2497.764897,29636.2249
1/12,1979,929.81336,1162.2667,64533,18.10182328,0.031636666,1039456,1247.3472,1281,973729.274,58.73,2047684195,2047.684195,587300,37900.2309,15083518,885.8550121,16244000,954.01012,1980,-1160482,47462545,-68.15510786,2787.475268,35112.75563
1/13,1718,748.3608,935.451,66251,18.58373072,0.026622038,804063,964.8756,1000,964875.6,54.45,1757360142,1757.360142,544500,36073.6695,12857176,700.0732332,14114000,768.5073,1719,-1256824,46205721,-68.4340668,2515.901508,33557.76799
1/14,2876,1460.08768,1825.1096,69127,19.39046283,0.043410665,1232952,1479.5424,1455,1016867.629,63.46,3988357291,3988.357291,634600,43867.9942,45136137,2864.339254,24134000,1531.54364,2877,21002137,67207858,1332.795614,4265.010669,39602.98353
1/15,2835,2111.2812,2639.1015,71962,20.18569425,0.041011472,1611730,1934.076,1480,1306808.108,93.09,5963501700,5963.5017,930900,66989.4258,33790999,3145.604097,23728000,2208.83952,2836,10062999,77270857,936.7645769,7193.144078,59796.28172
1/16,2551,1799.9856,2249.982,74513,20.90126227,0.035449265,1442788,1731.3456,1255,1379558.247,88.2,3320254373,3320.254373,882000,65720.466,19530829,1722.619118,21138000,1864.3716,2552,-1607171,75663686,-141.7524822,6673.537105,59046.92889
1/17,2316,1628.6112,2035.764,76829,21.55091164,0.031081825,1311392,1573.6704,1131,1391397.347,87.9,2791110509,2791.110509,879000,67532.691,16063981,1412.02393,18896000,1660.9584,2317,-2832019,72831667,-248.9344701,6401.903529,61130.78747
1/18,2790,2269.4976,2836.872,79619,22.33352034,0.036314413,1382066,1658.4792,1220,1359409.18,101.68,3554688873,3554.688873,1016800,80956.5992,22521523,2289.988459,21484050,2184.498204,2791,1037473,73869140,105.4902546,7511.014155,73445.58504
1/19,2697,2868.31344,3585.3918,82316,23.09004208,0.033873824,2270804,2724.9648,1717,1587049.971,132.94,6164793991,6164.793991,1329400,109430.8904,17301537,2300.066329,20221800,2688.286092,2698,-2920263,70948877,-388.2197632,9431.943708,99998.94669
1/20,2436,2750.34144,3437.9268,84752,23.77335203,0.029593275,2268139,2721.7668,1541,1766234.134,141.13,6774384679,6774.384679,1411300,119610.4976,19631996,2770.663595,18408300,2597.963379,2437,1223696,72172573,172.7002165,10185.71523,109424.7824
1/21,2729,2877.02096,3596.2762,87481,24.53884993,0.03219983,1731276,2077.5312,1368,1518663.158,131.78,5175809537,5175.809537,1317800,115282.4618,19248324,2536.544137,20120450,2651.472901,2730,-872126,71300447,-114.9287643,9395.972906,105886.4889
1/22,2849,2611.50736,3264.3842,90330,25.33800842,0.032567072,1477239,1772.6868,1266,1400226.54,114.58,3331169080,3331.16908,1145800,103500.114,17671961,2024.853291,20907150,2395.541247,2850,-3235189,68065258,-370.6879556,7798.917262,95701.19674
1/23,2917,2958.77144,3698.4643,93247,26.15624123,0.032292705,1812342,2174.8104,1471,1478457.104,126.79,4149895384,4149.895384,1267900,118227.8713,19242192,2439.717524,21528300,2729.573157,2918,-2286108,65779150,-289.8556333,8340.138429,109887.7329
1/24,3061,3624.71376,4530.8922,96308,27.01486676,0.032826793,2229403,2675.2836,1608,1663733.582,148.02,5275683933,5275.683933,1480200,142555.1016,18833750,2787.771675,22489550,3328.903191,3062,-3655800,62123350,-541.131516,9195.498267,133359.6033
1/25,3083,3997.54112,4996.9264,99391,27.87966339,0.032011879,4074567,4889.4804,2584,1892213.777,162.08,7559293407,7559.293407,1620800,161092.9328,20209308,3275.524641,23179900,3756.998192,3084,-2970592,59152758,-481.4735514,9587.479017,151505.4538
1/26,3092,4093.31328,5116.6416,102483,28.74698457,0.031109457,3491098,4189.3176,2158,1941296.386,165.48,7699308179,7699.308179,1654800,169588.8684,20766415,3436.426354,22733350,3761.914758,3093,-1966935,57185823,-325.4884038,9463.10999,160125.7584
1/27,3237,4180.39128,5225.4891,105720,29.65497896,0.031585726,3911389,4693.6668,2338,2007556.373,161.43,7942068120,7942.06812,1614300,170663.796,23796074,3841.400226,24419150,3941.983385,3238,-623076,56562747,-100.5831587,9130.924248,161532.8718
1/28,3258,4319.06544,5398.8318,108978,30.56886396,0.030817253,3359583,4031.4996,2065,1952300.048,165.71,6728974183,6728.974183,1657100,180587.4438,23556359,3903.52425,24589350,4074.701189,3259,-1032991,55529756,-171.1769386,9201.835867,171385.6079
1/29,4664,6102.3776,7627.972,113642,31.87713885,0.042797629,4187544,5025.0528,2351,2137410.804,163.55,11024281367,11024.28137,1635500,185861.491,62845601,10278.39804,36959000,6044.64445,4665,25886601,81416357,4233.753594,13315.64519,172545.8458
1/30,4872,7452.2112,9315.264,118514,33.24375877,0.042871474,5442660,6531.192,2751,2374115.594,191.2,13577050285,13577.05029,1912000,226598.768,47731530,9126.268536,38845650,7427.28828,4873,8885880,90302237,1698.980256,17265.78771,209332.9803
1/31,4254,8759.15616,10948.9452,122768,34.43702665,0.035894493,5519492,6623.3904,2587,2560259.142,257.38,17414983544,17414.98354,2573800,315980.2784,34401241,8854.191409,32721400,8421.833932,4255,1679841,91982078,432.3574766,23674.34724,292305.9312
2/1,3929,8155.97536,10194.9692,126697,35.53913043,0.032003454,5740371,6888.4452,2508,2746588.995,259.48,16314434800,16314.4348,2594800,328753.3756,30420645,7893.548965,30017150,7788.850082,3930,403495,92385573,104.6988826,23972.20848,304781.1671
2/2,4062,9398.49312,11748.1164,130759,36.67854137,0.032060743,5710775,6852.93,2345,2922358.209,289.22,14428159413,14428.15941,2892200,378181.1798,26824472,7758.173792,29256050,8461.434781,4063,-2431578,89953995,-703.2609892,26016.49443,352164.6854
2/3,4112,9094.75712,11368.4464,134871,37.83197756,0.031447166,6400027,7680.0324,2636,2913517.602,276.47,12298298205,12298.29821,2764700,372877.8537,26813453,7413.115351,27776400,7679.341308,4113,-962947,88991048,-266.2259571,24603.35504,348274.4987
2/4,3997,7993.68024,9992.1003,138868,38.95315568,0.029635726,5267043,6320.4516,2463,2566159.805,249.99,14188570543,14188.57054,2499900,347156.1132,26267116,6566.516329,27736950,6933.960131,3998,-1469834,87521214,-367.4438017,21879.42829,325276.6849
2/5,3653,6725.61136,8407.0142,142521,39.97784011,0.026305556,4102618,4923.1416,1930,2550850.57,230.14,8987593202,8987.593202,2301400,327997.8294,24810878,5709.975463,25589300,5889.121502,3654,-778422,86742792,-179.1460391,19962.98615,308034.8432
2/6,3971,7049.63688,8812.0461,146492,41.09172511,0.027862561,4528359,5434.0308,2590,2098081.39,221.91,12458471104,12458.4711,2219100,325080.3972,28639478,6355.386563,26272800,5830.197048,3972,2366678,89109470,525.189515,19774.28249,305306.1147
2/7,3554,7147.8048,8934.756,150046,42.08863955,0.02426071,3595844,4315.0128,1862,2317407.519,251.4,7818442741,7818.442741,2514000,377215.644,14781635,3716.103039,24558750,6174.06975,3555,-9777115,79332355,-2457.966711,19944.15405,357271.49
2/8,3826,6888.94256,8611.1782,153872,43.16185133,0.025498847,4743128,5691.7536,2339,2433413.254,225.07,10337697987,10337.69799,2250700,346319.7104,42477133,9560.328324,26519000,5968.63133,3827,15958133,95290488,3591.696994,21447.03013,324872.6803
2/9,4023,7343.74512,9179.6814,157895,44.29032258,0.026145108,4922407,5906.8884,2484,2377974.396,228.18,11398135079,11398.13508,2281800,360284.811,33014620,7533.275992,27793350,6341.886603,4024,5221270,100511758,1191.389389,22934.77294,337350.0381
2/10,4194,7326.41472,9158.0184,162089,45.46676017,0.026561956,4665545,5598.654,2383,2349414.184,218.36,11047348929,11047.34893,2183600,353937.5404,39667888,8661.880024,29491150,6439.687514,4195,10176738,110688496,2222.19251,24169.93999,329767.6004
2/11,3813,5672.82888,7091.0361,165902,46.53632539,0.023524113,4475398,5370.4776,2426,2213717.065,185.97,9286441391,9286.441391,1859700,308527.9494,38798342,7215.327662,26878050,4998.510959,3814,11920292,122608788,2216.816703,22801.5563,285726.3931
2/12,3372,5706.23328,7132.7916,169274,47.48218794,0.020325252,4470913,5365.0956,2673,2007143.883,211.53,10720384648,10720.38465,2115300,358065.2922,44467327,9406.17368,23452650,4960.939055,3373,21014677,143623465,4445.234626,30380.67155,327684.6206
2/13,5724,5977.68768,7472.1096,174998,49.08779804,0.033814998,4489826,5387.7912,2741,1965629.77,130.54,12714203235,12714.20324,1305400,228442.3892,119018136,15536.62747,84317050,11006.74771,5725,34701086,178324551,4529.879766,23278.48689,205163.9023
2/14,6344,6137.43936,7671.7992,181342,50.86732118,0.036251843,4406079,5287.2948,3189,1657978.928,120.93,10280464537,10280.46454,1209300,219296.8806,65884712,7967.438222,46561250,5630.651963,6345,19323462,197648013,2336.78626,23901.57421,195395.3064
2/15,5658,4491.99936,5614.9992,187000,52.45441795,0.031200715,3715129,4458.1548,3158,1411701.963,99.24,6773507422,6773.507422,992400,185578.8,46802498,4644.679902,43595100,4326.377724,5659,3207398,200855411,318.3021775,19932.89099,165645.909
2/16,5580,4864.4208,6080.526,192580,54.01963534,0.029839572,4435243,5322.2916,4250,1252303.906,108.97,9679906338,9679.906338,1089700,209854.426,50451134,5497.660072,45867450,4998.176027,5581,4583684,205439095,499.4840455,22386.69818,187467.7278
2/17,5220,4331.7648,5414.706,197800,55.48387097,0.027105618,2939424,3527.3088,2526,1396400.95,103.73,5403110519,5403.110519,1037300,205177.94,36319981,3767.471629,39572550,4104.860612,5221,-3252569,202186526,-337.3889824,20972.80834,184205.1317
2/18,,,,,,,,,,,,,,,,,,,,,,,,,
2/19,,,,,,,,,,,,,,,,,,,,,,,,,
2/20,,,,,,,,,,,,,,,,,,,,,,,,,
2/21,,,,,,,,,,,,,,,,,,,,,,,,,
2/22,,,,,,,,,,,,,,,,,,,,,,,,,
2/23,,,,,,,,,,,,,,,,,,,,,,,,,
2/24,,,,,,,,,,,,,,,,,,,,,,,,,
2/25,,,,,,,,,,,,,,,,,,,,,,,,,
2/26,,,,,,,,,,,,,,,,,,,,,,,,,
2/27,,,,,,,,,,,,,,,,,,,,,,,,,
2/28,,,,,,,,,,,,,,,,,,,,,,,,,
3/1,,,,,,,,,,,,,,,,,,,,,,,,,
3/2,,,,,,,,,,,,,,,,,,,,,,,,,
3/3,,,,,,,,,,,,,,,,,,,,,,,,,
3/4,,,,,,,,,,,,,,,,,,,,,,,,,
3/5,,,,,,,,,,,,,,,,,,,,,,,,,
3/6,,,,,,,,,,,,,,,,,,,,,,,,,
3/7,,,,,,,,,,,,,,,,,,,,,,,,,
3/8,,,,,,,,,,,,,,,,,,,,,,,,,
3/9,,,,,,,,,,,,,,,,,,,,,,,,,
3/10,,,,,,,,,,,,,,,,,,,,,,,,,
3/11,,,,,,,,,,,,,,,,,,,,,,,,,
3/12,,,,,,,,,,,,,,,,,,,,,,,,,
3/13,,,,,,,,,,,,,,,,,,,,,,,,,
3/14,,,,,,,,,,,,,,,,,,,,,,,,,
3/15,,,,,,,,,,,,,,,,,,,,,,,,,
3/16,,,,,,,,,,,,,,,,,,,,,,,,,
3/17,,,,,,,,,,,,,,,,,,,,,,,,,
3/18,,,,,,,,,,,,,,,,,,,,,,,,,
3/19,,,,,,,,,,,,,,,,,,,,,,,,,
3/20,,,,,,,,,,,,,,,,,,,,,,,,,
3/21,,,,,,,,,,,,,,,,,,,,,,,,,
3/22,,,,,,,,,,,,,,,,,,,,,,,,,
3/23,,,,,,,,,,,,,,,,,,,,,,,,,
3/24,,,,,,,,,,,,,,,,,,,,,,,,,
3/25,,,,,,,,,,,,,,,,,,,,,,,,,
3/26,,,,,,,,,,,,,,,,,,,,,,,,,
3/27,,,,,,,,,,,,,,,,,,,,,,,,,
3/28,,,,,,,,,,,,,,,,,,,,,,,,,
3/29,,,,,,,,,,,,,,,,,,,,,,,,,
3/30,,,,,,,,,,,,,,,,,,,,,,,,,